sample_134_20210112211711,122,1, 5,1,0.9839,0.9606,0.9721
sample_25_20210610044410_Isra,32,0, 38,3,0.9143,0.4571,0.6095
sample_38_20210610044413_Hayden,74,12, 1,10,0.7708,0.9867,0.8655
sample_323,24,1, 25,3,0.8571,0.4898,0.6234
sample_169_20210112211715,64,2, 48,2,0.9412,0.5714,0.7111
sample_46_20210610044418_Hayden,31,0, 4,3,0.9118,0.8857,0.8986
sample_2789,115,3, 25,7,0.9200,0.8214,0.8679
sample_116_20210112211709,34,3, 3,2,0.8718,0.9189,0.8947
sample_1262,141,4, 20,14,0.8868,0.8758,0.8812
sample_2764,74,1, 5,0,0.9867,0.9367,0.9610
sample_76_20210112211704,32,5, 13,1,0.8421,0.7111,0.7711
sample_38_20210604143816_Isra,70,4, 13,4,0.8974,0.8434,0.8696
sample_2757,13,0, 14,2,0.8667,0.4815,0.6190
sample_80_20210604143825_Booma,23,0, 15,1,0.9583,0.6053,0.7419
sample_367,70,1, 21,6,0.9091,0.7692,0.8333
sample_63_20210112211702,84,2, 6,8,0.8936,0.9333,0.9130
sample_324,95,0, 35,2,0.9794,0.7308,0.8370
sample_104_20210112211707,61,5, 14,12,0.7821,0.8133,0.7974
sample_225,33,2, 7,3,0.8684,0.8250,0.8462
sample_160_20210112211715,99,0, 7,1,0.9900,0.9340,0.9612
sample_364,70,0, 21,0,1.0000,0.7692,0.8696
sample_30_20210610044412_Isra,26,0, 39,2,0.9286,0.4000,0.5591
sample_80_20210112211705,27,0, 7,0,1.0000,0.7941,0.8852
sample_88_20210604143828_Booma,56,9, 0,3,0.8235,1.0000,0.9032
sample_2_20210604143805_Hayden,18,0, 5,17,0.5143,0.7826,0.6207
sample_23_20210610044409_Isra,31,0, 35,1,0.9688,0.4697,0.6327
sample_380,117,9, 22,5,0.8931,0.8417,0.8667
sample_207,29,1, 5,0,0.9667,0.8529,0.9062
sample_69_20210112211703,56,3, 10,8,0.8358,0.8485,0.8421
sample_11_20210604143808_Hayden,99,10, 13,3,0.8839,0.8839,0.8839
sample_98_20210112211707,69,0, 3,2,0.9718,0.9583,0.9650
sample_157_20210112211713,122,5, 28,10,0.8905,0.8133,0.8502
sample_167_20210112211715,115,4, 21,2,0.9504,0.8456,0.8949
sample_26_20210604143812_Hayden,27,0, 2,1,0.9643,0.9310,0.9474
sample_78_20210604143825_Booma,67,7, 57,4,0.8590,0.5403,0.6634
sample_64_20210112211703,106,23, 24,14,0.7413,0.8154,0.7766
sample_138_20210112211712,60,7, 5,10,0.7792,0.9231,0.8451
sample_8_20210604143807_Hayden,47,6, 10,7,0.7833,0.8246,0.8034
sample_140_20210112211712,33,0, 41,0,1.0000,0.4459,0.6168
sample_2747,57,0, 28,6,0.9048,0.6706,0.7703
sample_2760,64,0, 7,2,0.9697,0.9014,0.9343
sample_68,30,1, 13,1,0.9375,0.6977,0.8000
sample_402,45,0, 16,0,1.0000,0.7377,0.8491
sample_36_20210610044412_Hayden,60,1, 9,8,0.8696,0.8696,0.8696
sample_1854,20,2, 8,1,0.8696,0.7143,0.7843
sample_85_20210112211705,69,3, 7,2,0.9324,0.9079,0.9200
sample_73_20210610044426_Booma,59,3, 7,0,0.9516,0.8939,0.9219
sample_2765,37,0, 4,3,0.9250,0.9024,0.9136
sample_108_20210112211708,30,0, 3,5,0.8571,0.9091,0.8824
sample_75_20200709164917_Atieh,5,0, 6,0,1.0000,0.4545,0.6250
sample_530,61,0, 10,4,0.9385,0.8592,0.8971
sample_89_20210112211706,112,14, 11,3,0.8682,0.9106,0.8889
sample_71_20210112211703,72,20, 6,2,0.7660,0.9231,0.8372
sample_87_20210112211705,33,9, 2,0,0.7857,0.9429,0.8571
sample_2791,65,1, 8,2,0.9559,0.8904,0.9220
sample_131_20210112211711,67,0, 0,0,1.0000,1.0000,1.0000
sample_92_20210112211706,155,11, 23,14,0.8611,0.8708,0.8659
