sample_134_20210112211711,104,1, 7,19,0.8387,0.9369,0.8851
sample_25_20210610044410_Isra,27,0, 40,8,0.7714,0.4030,0.5294
sample_38_20210610044413_Hayden,49,4, 21,43,0.5104,0.7000,0.5904
sample_323,22,1, 26,5,0.7857,0.4583,0.5789
sample_169_20210112211715,41,0, 63,27,0.6029,0.3942,0.4767
sample_46_20210610044418_Hayden,23,0, 6,11,0.6765,0.7931,0.7302
sample_2789,82,0, 42,43,0.6560,0.6613,0.6586
sample_116_20210112211709,14,0, 10,25,0.3590,0.5833,0.4444
sample_1262,94,3, 44,62,0.5912,0.6812,0.6330
sample_2764,49,0, 17,26,0.6533,0.7424,0.6950
sample_76_20210112211704,30,4, 16,4,0.7895,0.6522,0.7143
sample_38_20210604143816_Isra,57,0, 24,21,0.7308,0.7037,0.7170
sample_2757,9,0, 18,6,0.6000,0.3333,0.4286
sample_80_20210604143825_Booma,18,0, 20,6,0.7500,0.4737,0.5806
sample_367,52,0, 30,25,0.6753,0.6341,0.6541
sample_63_20210112211702,50,1, 23,43,0.5319,0.6849,0.5988
sample_324,74,0, 42,23,0.7629,0.6379,0.6948
sample_104_20210112211707,44,1, 24,33,0.5641,0.6471,0.6027
sample_225,12,0, 18,26,0.3158,0.4000,0.3529
sample_160_20210112211715,75,0, 16,25,0.7500,0.8242,0.7853
sample_364,51,0, 33,19,0.7286,0.6071,0.6623
sample_30_20210610044412_Isra,25,0, 40,3,0.8929,0.3846,0.5376
sample_80_20210112211705,20,0, 10,7,0.7407,0.6667,0.7018
sample_88_20210604143828_Booma,37,5, 12,26,0.5441,0.7551,0.6325
sample_2_20210604143805_Hayden,9,0, 6,26,0.2571,0.6000,0.3600
sample_23_20210610044409_Isra,27,0, 36,5,0.8438,0.4286,0.5684
sample_380,72,2, 41,57,0.5496,0.6372,0.5902
sample_207,17,0, 14,13,0.5667,0.5484,0.5574
sample_69_20210112211703,42,0, 14,25,0.6269,0.7500,0.6829
sample_11_20210604143808_Hayden,64,3, 41,45,0.5714,0.6095,0.5899
sample_98_20210112211707,63,0, 6,8,0.8873,0.9130,0.9000
sample_157_20210112211713,95,1, 44,41,0.6934,0.6835,0.6884
sample_167_20210112211715,80,4, 39,37,0.6612,0.6723,0.6667
sample_26_20210604143812_Hayden,16,0, 3,12,0.5714,0.8421,0.6809
sample_78_20210604143825_Booma,59,6, 59,13,0.7564,0.5000,0.6020
sample_64_20210112211703,61,5, 44,77,0.4266,0.5810,0.4919
sample_138_20210112211712,32,0, 15,45,0.4156,0.6809,0.5161
sample_8_20210604143807_Hayden,30,3, 28,27,0.5000,0.5172,0.5085
sample_140_20210112211712,27,0, 43,6,0.8182,0.3857,0.5243
sample_2747,23,0, 43,40,0.3651,0.3485,0.3566
sample_2760,43,0, 10,23,0.6515,0.8113,0.7227
sample_68,20,0, 21,12,0.6250,0.4878,0.5479
sample_402,30,0, 26,15,0.6667,0.5357,0.5941
sample_36_20210610044412_Hayden,39,1, 16,29,0.5652,0.7091,0.6290
sample_1854,9,0, 9,14,0.3913,0.5000,0.4390
sample_85_20210112211705,51,2, 17,21,0.6892,0.7500,0.7183
sample_73_20210610044426_Booma,36,1, 19,25,0.5806,0.6545,0.6154
